Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
71,Mitchell Robinson,C,25,NYK,12,354,17.3,.554,.000,.441,19.9,22.9,21.3,2.3,2.4,3.4,6.6,9.0,,0.7,0.7,1.4,.192,,0.2,0.8,1.0,0.3,robinmi01
72,Drew Eubanks,C,26,PHO,12,228,18.7,.709,.033,.317,9.4,19.4,14.6,15.1,0.6,5.5,18.0,15.7,,0.5,0.2,0.8,.166,,0.0,0.9,0.9,0.2,eubandr01
73,Myles Turner,C,27,IND,11,293,20.5,.635,.396,.358,6.1,24.7,15.6,7.3,0.9,4.7,10.4,24.3,,0.6,0.2,0.8,.138,,1.3,-0.5,0.9,0.2,turnemy01
74,Kevin Huerter,SG,25,SAC,11,309,15.2,.581,.618,.098,2.4,16.8,9.3,15.2,2.0,1.2,7.9,19.2,,0.4,0.4,0.8,.121,,0.7,0.1,0.8,0.2,huertke01
75,D'Angelo Russell,PG,27,LAL,13,424,17.5,.589,.412,.193,1.9,8.9,5.7,31.6,0.6,1.6,11.0,23.6,,0.8,0.3,1.1,.121,,2.8,-2.0,0.8,0.3,russeda01
76,Karl-Anthony Towns,PF,28,MIN,11,366,17.0,.567,.348,.203,3.5,25.7,15.3,11.0,1.3,1.4,12.1,27.4,,0.2,0.8,0.9,.124,,-0.1,0.8,0.8,0.3,townska01
77,Jonas Valančiūnas,C,31,NOP,12,300,18.2,.589,.237,.195,7.3,26.7,17.0,12.7,0.5,5.5,11.1,20.4,,0.4,0.4,0.8,.128,,0.1,0.7,0.8,0.2,valanjo01
78,Devin Vassell,SG,23,SAS,9,260,17.1,.618,.451,.265,1.7,12.6,7.0,14.6,1.6,0.4,8.7,22.4,,0.4,0.0,0.4,.077,,2.1,-1.4,0.8,0.2,vassede01
79,Deni Avdija,SF,23,WAS,12,327,17.0,.618,.319,.168,5.1,17.1,11.0,19.6,2.1,1.0,13.5,19.0,,0.5,0.2,0.7,.103,,0.7,0.0,0.7,0.2,avdijde01
80,Malik Beasley,SG,27,MIL,12,312,13.7,.686,.753,.097,1.8,12.3,7.3,7.6,1.7,0.0,7.6,14.5,,0.6,0.2,0.8,.121,,1.1,-0.5,0.7,0.2,beaslma01
81,Onyeka Okongwu,C,23,ATL,12,265,18.0,.693,.156,.469,13.5,20.1,16.8,8.6,1.3,3.7,14.4,14.1,,0.8,0.2,1.0,.182,,0.6,0.1,0.7,0.2,okongon01
82,Dyson Daniels,PG,20,NOP,12,323,13.4,.552,.412,.224,4.5,15.1,9.8,18.1,2.7,1.4,15.4,14.5,,0.2,0.4,0.6,.089,,-1.2,1.8,0.6,0.2,daniedy01
83,Herbert Jones,SF,25,NOP,9,285,13.8,.618,.418,.388,1.8,11.3,6.6,9.5,3.2,4.5,13.3,13.4,,0.3,0.4,0.7,.116,,-2.3,2.8,0.6,0.2,joneshe01
84,Jusuf Nurkić,C,29,PHO,12,321,16.2,.519,.330,.500,11.8,24.2,18.3,23.3,2.3,2.6,17.9,18.7,,0.4,0.5,0.8,.122,,-1.0,1.6,0.6,0.2,nurkiju01
